,driver_id,trip_count,total_trip_duration,total_trip_distance,number of days
17232,d71db369cb0b68b5e376fc1cc67ba0414c1a4fdaeb3ca8b595d6bbe5f214c9d1,2,151154.0,0.02,2
17233,d721544568b8b6e000bb72496d60d546f394fa2e8d2c534afdaa225d15ebb750,12,21074.0,98.88,2
17234,d72d8097868a5240071cddf9b068f2fdd9ddc65d46c3b00a0be259a9442d508a,19,46333.0,139.3999999999999,3
17235,d73157d3477fd2a010f8c604d32ec863134766a078c38f508742ff78edd234cd,12,84005.0,205.93999999999997,6
17236,d7329f27222a002dc940efdce91430ebe972d054e1b9952220172d4dec0dcee9,29,88743.0,185.63999999999996,12
17237,d735e2b7c78365c8971f631010c3a5b46c016d0c73bd9e2025d966281a792fc3,5,28272.0,149.81999999999988,4
17238,d736fa1cf9fd2c6bf30e584a0ae09f793e123ad6a9594a0e61b9325c9f453c0d,5,7911.0,21.08999999999999,2
17239,d7385782e92a4a4fd13870ad824c5af7e852e16ecbbcc50b90b24fd21b516cb3,9,45173.0,2.3000000000000003,6
17240,d741694a062a23b2cd2cbf2d4b1b7447ac53b391ae1ef77f56c1ef6c0f255558,10,13774.0,32.53999999999997,2
17241,d741984d469093107b14b33a2f6b3dfb664b6b9f2427dfdc63208b78df2f1fac,22,161872.0,518.0799999999995,14
17242,d7428aca5481ff2fa2617688b4ff1c29200db514ee206cb832d0c51b41972769,28,47292.0,162.4299999999999,5
17243,d743169593812410c8b957b679022cf335efeded8d06bb70b43db8b73bdeed7e,1,2206.0,0.0,1
17244,d743333da7bdf1123a5bf73198e2c38673abcceebd0e5aa28faac856ea032075,19,31636.0,80.62999999999997,4
17245,d74acceddbb2edbf0f315323cdc61b44616128742edb2927bf17bbf9a923f96e,8,5282.0,18.979999999999997,2
17246,d74b4da2ea03a57567e5cbb8b2027ed4a08f312b83df1dbf635911f40746ea84,20,27754.0,97.27999999999997,7
17247,d74de9a7a78b70621ec79abc770b43de5b5c3a51c7c45fdfcde91adbcf2b0224,6,11741.0,17.039999999999992,3
17248,d7524fed64f1ceeadb9d1e2d6845dfa7992a71325373793b96553c01c49c1209,29,21959.0,43.67,7
17249,d75361b634d35f605dd4f329214cb1a21623533557b29068bfda2912ee50e70f,10,9417.0,28.59999999999999,3
17250,d76005c8e1bdd9b18099fc00fc79e7985b840844941a5ab085eb09b8f75f6db9,96,281978.0,826.9499999999998,18
17251,d7640e905b0007c9a4f29afdb550e5249cd48a83a51e520f9fe12bac13eaf743,107,156569.0,541.5899999999999,14
